RM;TYPE;DATE
00;część;2013-02-28
01;wieś;2013-02-28
02;kolonia;2013-02-28
03;przysiółek;2013-02-28
04;osada;2013-02-28
05;osada leśna;2013-02-28
06;osiedle;2013-02-28
07;schronisko turystyczne;2013-02-28
95;dzielnica;2013-02-28
96;miasto;2013-02-28
98;delegatura;2013-02-28
99;część miasta;2013-02-28

